Followers,Time_since_posted,Likes
1600,11,139
880,2,23
255,2,25
340,3,49
304,3,30
1231,3,18
259,3,35
1433,4,86
13,4,22
450,7,18
149,7,31
2232,8,48
1061,9,80
533,11,94
2904,3,28
971,3,53
285,4,29
520,4,46
75,4,30
2691,4,34
966,5,198
334,2,19
1041,2,20
4496,2,11
166,2,10
1211,2,46
265,2,25
1618,20,148
279,4,43
279,2,37
828,2,90
12,2,19
894,2,14
610,2,30
226,2,273
1168,2,13
835,2,93
124,2,24
193,2,18
1600,14,136
258,2,24
105,2,8
273,2,41
914,2,81
118,2,16
122,2,31
1180,2,24
3139,3,51
3725,3,43
935,4,20
1766,4,25
2277,4,157
348,4,17
87,4,24
2785,7,65
3448,24,349
530,2,17
3147,2,10
918,2,21
4496,2,11
145,2,16
11,3,10
577,2,27
66,3,16
89,2,19
2014,2,29
151,2,31
2175,2,41
371,2,19
1003,2,40
1200,2,21
383,2,50
955,2,20
2372,2,10
740,2,35
2573,2,119
181,2,11
631,2,55
246,2,12
460,2,29
140,2,28
888,2,43
845,2,31
91,3,14
361,3,33
2455,3,24
361,4,43
262,2,9
1158,2,29
1196,2,16
863,2,32
971,2,46
106,2,12
179,2,20
49,3,24
614,3,31
450,3,42
182,3,10
2039,3,222
741,3,109
